car,year,cash_price,true_cost,Hicash,Hicost
AcuraMDX,2014,26142,53918,-0.22,-0.22
AudiQ5,2014,23266,62436,-0.31,-0.10
BmwX5,2014,31783,75219,-0.05,0.08
BmwX6,2014,34284,77656,0.02,0.12
CadillacESCALADE,2014,36171,73071,0.08,0.05
InfinitiQX60,2014,28318,58608,-0.15,-0.16
LandroverRANGEROVER,2014,52327,97899,0.56,0.41
LexusRX350,2014,26720,55282,-0.20,-0.20
LexusLX570,2014,53579,83427,0.60,0.20
LincolnMKX,2014,22712,51715,-0.32,-0.25
MercedesbenzMCLASS,2014,31090,72080,-0.07,0.04
PorscheCAYENNE,2014,43477,83860,0.30,0.21
VolvoXC90,2014,25717,56726,-0.23,-0.18
