car,year,cash_price,true_cost,Hicash,Hicost
AcuraMDX,2015,31267,56234,-0.268621018,-0.252696871
AudiQ5,2015,28339,64606,-0.337111045,-0.141439948
BmwX5,2015,36523,75292,-0.145675807,0.000568112
BmwX6,2015,45522,80979,0.064823424,0.076143616
CadillacESCALADE,2015,49692,78278,0.162365573,0.040249571
InfinitiQX60,2015,31982,58910,-0.251896166,-0.217135055
LandroverRANGEROVER,2015,60080,102039,0.405355462,0.356013515
LexusRX350,2015,31822,58891,-0.25563879,-0.217387549
LexusLX570,2015,58384,87715,0.365683643,0.165659458
LincolnMKX,2015,26853,53404,-0.371870669,-0.290305219
MercedesbenzMCLASS,2015,33351,70205,-0.219873336,-0.067033891
PorscheCAYENNE,2015,79194,116438,0.852458729,0.547364259
