car,year,cash_price,true_cost,Hicash,Hicost
AcuraMDX,2017,43437,57434,-0.268937124,-0.244440884
AudiQ5,2017,43796,64339,-0.262895004,-0.153603824
BmwX5,2017,61988,84658,0.043283965,0.113697873
BmwX6,2017,67906,83471,0.14288638,0.098082582
CadillacESCALADE,2017,71247,85827,0.199116807,0.129076371
InfinitiQX60,2017,42666,58670,-0.281913376,-0.228180984
LandroverRANGEROVER,2017,91334,102157,0.537189418,0.343901742
LexusRX350,2017,45956,59251,-0.2265413,-0.220537779
LexusLX570,2017,92145,104288,0.550838887,0.371935598
LincolnMKX,2017,37941,58005,-0.361437102,-0.236929231
MercedesbenzGLECLASS,2017,55116,76886,-0.072374669,0.011455204
PorscheCAYENNE,2017,69289,87091,0.166162848,0.145704617
VolvoXC90,2017,49590,66121,-0.16537956,-0.130161153
