car,price2015,price2016,price2017,price2018,price2019,price2020,src
AcuraMDX,0,0.2,0.3,0.39,0.46,0.53,assets/data/images/acura.png
AudiQ5,0,0.2,0.31,0.41,0.5,0.58,assets/data/images/audi.png
BmwX5,0,0.23,0.35,0.46,0.55,0.63,assets/data/images/bmw.png
BmwX6,0,0.23,0.34,0.44,0.53,0.61,assets/data/images/bmw.png
CadillacESCALADE,0,0.18,0.28,0.37,0.44,0.51,assets/data/images/cadillac.png
InfinitiQX60,0,0.19,0.29,0.39,0.47,0.54,assets/data/images/infiniti.png
LandroverRANGEROVER,0,0.18,0.29,0.4,0.48,0.56,assets/data/images/landrover.png
LexusRX350,0,0.2,0.3,0.39,0.47,0.54,assets/data/images/lexus.png
LexusLX570,0,0.17,0.26,0.35,0.42,0.49,assets/data/images/lexus.png
LincolnMKX,0,0.21,0.31,0.41,0.49,0.56,assets/data/images/lincoln.png
MercedesbenzMCLASS,0,0.22,0.33,0.42,0.5,0.57,assets/data/images/mercedesbenz.png
PorscheCAYENNE,0,0.22,0.33,0.43,0.51,0.59,assets/data/images/porsche.png
